iter	Accuracy	Logloss
79	0.9066618588	0.2007853498
80	0.9068872262	0.2005909931
81	0.9069773731	0.2003488365
82	0.9071216082	0.2002078054
83	0.9071486523	0.1999013739
84	0.9075633282	0.1996111382
85	0.9077075633	0.1992268773
86	0.9077075633	0.1991920386
87	0.9080050482	0.1988951642
88	0.9080861805	0.19878074
89	0.9081402686	0.1983269485
90	0.908248445	0.1980656682
91	0.9083295772	0.1979521485
92	0.9083295772	0.1979521285
93	0.9087532678	0.1975162755
94	0.9090777968	0.1970880406
95	0.9091408997	0.1968330064
96	0.9095826197	0.1964575767
97	0.9099882809	0.1960021039
98	0.9100333544	0.1958727368
99	0.9100603984	0.1956136472
100	0.9103759127	0.1953458763
101	0.9104660597	0.1951250823
102	0.9105922654	0.1948469629
103	0.9109167944	0.1945029157
104	0.9110069413	0.1943385714
105	0.9113044262	0.1940307074
106	0.9113585144	0.1938728438
107	0.9114396466	0.1938697151
108	0.911574867	0.1936287736
109	0.9118002344	0.1934153376
110	0.9118723519	0.1933195821
111	0.9118543225	0.1932034213
112	0.9119174254	0.1931114735
113	0.9120977193	0.1928551352
114	0.9123230866	0.1925273436
115	0.9124132336	0.1924414283
116	0.9124402777	0.1921937901
117	0.912458307	0.1920273598
118	0.9126746597	0.1917471461
119	0.9131253944	0.1912342925
120	0.9131434238	0.1911172695
121	0.9131344091	0.191003035
122	0.9133687911	0.1907521034
123	0.913666276	0.1904428261
124	0.9136843054	0.1901952276
125	0.913756423	0.1901037193
126	0.913756423	0.1901036986
127	0.9142522311	0.1897639451
128	0.9143243487	0.1896890002
129	0.9143964662	0.1896347351
130	0.9143964662	0.1896347284
131	0.9144685838	0.1893636135
132	0.9145677454	0.1892597442
133	0.9147390246	0.1889921641
134	0.9148381862	0.1888848062
135	0.914874245	0.1887976661
136	0.9150274948	0.1886213318
137	0.9150274948	0.188621328
138	0.9150274948	0.1886213213
139	0.9150004507	0.1886076916
140	0.9150365095	0.188594899
141	0.9150184801	0.1885869656
142	0.9150094654	0.1885849069
143	0.9151356711	0.1884270912
144	0.9151176418	0.188372731
145	0.9151446858	0.1881776472
146	0.9151807446	0.1881536779
147	0.9154241414	0.1880458616
148	0.9154511854	0.1879238844
149	0.9154692148	0.1879219606
150	0.9154692148	0.1879055256
151	0.9156765528	0.1877435039
152	0.9157035969	0.1877187762
153	0.9157396556	0.1876175672
154	0.9158838907	0.1874884152
155	0.9164608312	0.1871049857
156	0.9164968899	0.1870567633
157	0.9165059046	0.1870138037
158	0.9170648156	0.1867054406
159	0.9171008744	0.1866965189
160	0.917082845	0.1866519249
161	0.9172721536	0.1864340193
162	0.9173803299	0.1862318825
163	0.9174344181	0.1861845416
164	0.917407374	0.1861765286
165	0.917497521	0.1858481503
166	0.9178941675	0.1854832987
167	0.9182277112	0.185243502
168	0.9183178581	0.1851311132
169	0.9183629316	0.1851097688
170	0.9184440638	0.1850861326
171	0.9183539169	0.1849472298
172	0.9184350491	0.1848542939
173	0.9184350491	0.1847900728
174	0.9184440638	0.1845953702
175	0.9186964753	0.1843709685
176	0.9187054899	0.184184559
177	0.9187145046	0.1840957993
178	0.9187145046	0.1840051058
179	0.9190119895	0.1838079889
180	0.9194627242	0.183429783
181	0.9194717389	0.1833736025
182	0.9194627242	0.1832467492
183	0.9197331651	0.1830810533
184	0.9197511944	0.1829626512
185	0.9198593708	0.1828302584
186	0.9198954296	0.1827875605
187	0.9199314883	0.1827376582
188	0.9198954296	0.1827248847
189	0.9200126206	0.1823856032
190	0.9200036059	0.1823529337
191	0.9202109438	0.1822969601
192	0.9202470026	0.182150634
193	0.9204543406	0.1819674855
194	0.9205174434	0.1818701434
195	0.9205625169	0.1817388283
196	0.9207337961	0.1815374805
197	0.920823943	0.181435234
198	0.9208690165	0.1813566362
199	0.9208509871	0.1812925531
200	0.9210583251	0.1811857505
201	0.9213377806	0.1810846519
202	0.9215721626	0.1809060256
203	0.9217434418	0.1807280305
204	0.9219237357	0.1805161758
205	0.9219597945	0.1803919457
206	0.921914721	0.1802695356
207	0.9219778239	0.180238447
208	0.9220138826	0.1801707652
209	0.9220409267	0.1800276796
210	0.9220679708	0.1799046726
211	0.92223925	0.1797978478
212	0.9225006761	0.1796121308
213	0.9226268818	0.1793508081
214	0.9226989994	0.1793251374
215	0.9228252051	0.1791769371
216	0.9229784549	0.1789713541
217	0.9230235284	0.1789364935
218	0.92312269	0.1787354385
219	0.9232579104	0.1785752296
220	0.9233029839	0.1783584021
221	0.9236004688	0.1780963124
222	0.92356441	0.178030513
223	0.9236275128	0.1778515676
224	0.9237356892	0.1777311692
225	0.9236906157	0.177546949
226	0.9238709096	0.1774667164
227	0.9239700712	0.1772326222
228	0.924123321	0.177067587
229	0.9241593798	0.1769196741
230	0.9243126296	0.1767490794
231	0.9245560263	0.1766366771
232	0.9247182908	0.1764809304
233	0.9247813937	0.1762697586
234	0.9249797169	0.1760943629
235	0.9250428198	0.1760457138
236	0.9251690255	0.1758808127
237	0.9252591725	0.175789874
238	0.9253943929	0.1755969372
239	0.9253943929	0.1755891003
240	0.9255205986	0.1754789529
241	0.9256287749	0.1753904683
242	0.9259172451	0.1750843375
243	0.9260164067	0.1748245168
244	0.9260704949	0.1747010161
245	0.9261606418	0.1744818085
246	0.9262958623	0.1743433098
247	0.9263048769	0.1742144862
248	0.9263499504	0.1740799515
249	0.9265482737	0.1738783174
250	0.9267285676	0.1737376541
251	0.9270170378	0.173625338
252	0.927215361	0.1733868983
253	0.9273595961	0.1732506308
254	0.9274858019	0.1731066146
255	0.9276751104	0.1729226474
256	0.9278193455	0.1727820274
257	0.9278013161	0.1726990186
258	0.9278103308	0.1725766326
259	0.9281528892	0.1722829157
260	0.9281168304	0.1720627451
261	0.9283331831	0.1720022327
262	0.9284053006	0.1718757207
263	0.9285495357	0.1717376302
264	0.9286667268	0.1716582322
265	0.9289011088	0.1714324122
266	0.9289912557	0.1712966779
267	0.9290182998	0.1712560622
268	0.9291715496	0.1710907775
269	0.9291445055	0.1710227518
270	0.9291264762	0.170906526
271	0.929279726	0.1707716806
272	0.9294600198	0.1705842553
273	0.9296763725	0.1702772784
274	0.9299017398	0.1701718977
275	0.9300189309	0.169941578
276	0.9300189309	0.169800317
277	0.9301090778	0.1696758767
278	0.9303795186	0.169473175
279	0.9304245921	0.1694624148
280	0.9305868566	0.1692475043
281	0.93063193	0.1691201068
282	0.9306860182	0.1688890107
283	0.9309654737	0.1686230705
284	0.9309113856	0.1684787569
285	0.9311097088	0.1681693524
286	0.9311547823	0.1681083494
287	0.9311818264	0.1678785177
288	0.9314793113	0.1675990121
289	0.9316956639	0.1673916593
290	0.9318038403	0.1672047082
291	0.9319120166	0.1670874294
292	0.9321373839	0.166834558
293	0.9326602362	0.1665887839
294	0.9328405301	0.1663394683
295	0.9328675741	0.1663042649
296	0.9331830884	0.1660952692
297	0.9332912648	0.1660060799
298	0.9335346615	0.1657400179
299	0.9335166321	0.1657174174
